Class Name,Image Name,Raw BRISQUE Score,Resized BRISQUE ScoreEnhanced BRISQUE Score,Improvement Percentage (Raw-Resized),Improvement Percentage (Resized-Enhanced),Improvement Percentage (Raw-Enhanced)
Crocodile,c66.jpg,18.69524440154541,20.385772347981145,12.170817256523577,-8.292685298249951,67.49715256018933
Crocodile,c49.jpg,28.914114182607335,25.166114539851463,16.570722842598087,14.893040547919215,51.870952033289356
Crocodile,c1.jpg,16.342480089798386,21.793542334419925,16.19613422391032,-25.012281899727384,34.56014894125885
Crocodile,c98.jpg,13.15035721613603,19.40126129149482,12.566385554551715,-32.21906030459514,54.39014828307109
Crocodile,c90.jpg,30.98721785833979,18.00652574554917,8.289931319517194,72.08882099868251,117.20958897640021
Crocodile,c46.jpg,25.059093764518792,21.211203167154935,11.736649106491285,18.14084079550107,80.72622751772889
Crocodile,c86.jpg,34.35402356143683,24.646054559245812,15.144452933698147,39.38954601781946,62.739814156016884
Crocodile,c51.jpg,34.79503427573931,24.361255429441343,14.955636621409411,42.829397181593606,62.890126620003095
Fox,f54.jpg,3.081604337764901,23.603631347081745,19.5802722739829,-86.94436338014617,20.548024137768735
Fox,f71.jpg,23.141525933735323,19.71252193635482,21.568006081868333,17.39505482074602,-8.602947061821224
Fox,f7.jpg,0.9755024589157699,12.868527711269024,9.943977599889735,-92.41947112518926,29.410264474164936
Fox,f29.jpg,15.200496989127345,23.238708735904964,19.55723063394177,-34.589752116296296,18.824127867950544
Fox,f41.jpg,19.42141690464095,31.528247978394887,22.525253961277684,-38.399948776253886,39.968446227482765
Fox,f37.jpg,20.979879843267412,41.62457706049983,46.39699265661554,-49.597374136020875,-10.286045113821034
Giraffe,g92.jpg,26.173233613033602,36.90694983393033,53.491420897899985,-29.08318424902376,-31.003983041738092
Giraffe,g51.jpg,40.157467180470434,91.68903601978295,86.56951512106033,-56.202541848290345,5.913768711264449
Giraffe,g23.jpg,12.34962981312944,16.429542710476284,26.428574053222036,-24.832784266997834,-37.83416889087409
Giraffe,g93.jpg,29.586457829934915,35.151414205414056,28.30483636205244,-15.831386876668027,24.188720810061437
Giraffe,g55.jpg,9.364081807220913,20.794095743112138,13.512796932568762,-54.96759309515691,53.88446852919008
Giraffe,g52.jpg,17.46002678063016,34.31296434674354,14.679180849612152,-49.115364664530375,133.75258264258082
Giraffe,g95.jpg,34.97084980086137,32.555089541785236,22.453257463059998,7.420530224545846,44.99049679247979
Giraffe,g43.jpg,16.229053649130577,26.80300416863153,14.366283026635386,-39.45061700164196,86.56881615751414
Giraffe,g86.jpg,9.09936905329343,22.606535437766837,15.121788913231711,-59.7489448202139,49.49643568946992
Panda,p75.jpg,5.308562542852741,11.285416798070827,9.989235588573337,-52.96086411482642,12.975779758164768
Panda,p30.jpg,13.130286120288218,12.95772853691821,13.12619074232336,1.3316962373333356,-1.2834051303396699
Panda,p15.jpg,22.767312335176,13.713748516169716,9.828309855634956,66.01815549068395,39.53313151097984
Panda,p86.jpg,9.894446616671047,9.102546183727526,2.8259760509486966,8.699768361067903,222.1027361739937
Panda,p3.jpg,33.830387470607064,30.424997470551347,26.422851351112485,11.192737167363212,15.146533832618935
Panda,p42.jpg,53.768203194878055,52.396572796572144,43.17390309127708,2.617786479339436,21.361676950533624
Panda,p63.jpg,20.047478994560464,29.061996205426766,27.034070952566452,-31.018231325703,7.501368389609094
Panda,p48.jpg,28.351903306949424,24.705693305964218,11.295765995479513,14.758581982821639,118.71640503044472
Panda,p39.jpg,20.42164117783713,20.406304625399656,16.399466468295117,0.07515595164832313,24.432734838361412
Raccoon,r10.jpg,26.641241410119477,33.44231450225115,24.09483299208236,-20.336729659287975,38.794547832061774
Raccoon,r27.jpg,10.619138520132964,26.042879472002,16.423921276191862,-59.224407072384935,58.56675780438495
Raccoon,r79.jpg,27.054863187789323,20.34954122723306,28.065108855719217,32.95072790920106,-27.491671841186704
Raccoon,r17.jpg,14.035850129927297,30.18166181657918,21.711321765746305,-53.49543635063454,39.01347021716766
Raccoon,r14.jpg,8.88591637339934,30.572613336504645,38.49722921086092,-70.93504478797931,-20.584899320807658
Raccoon,r60.jpg,2.548295463719654,9.60519505913723,16.2528949319354,-73.46961255830499,-40.90163568175211
Raccoon,r99.jpg,27.29287225603227,32.26990834630905,35.81051324710674,-15.423149135922612,-9.887054330570777
Raccoon,r25.jpg,32.17491150104203,30.140282651034312,25.383916781092665,6.750530091455195,18.73771455744942
Raccoon,r37.jpg,10.917044399376408,9.748073432606105,5.890971864700049,11.991815355639801,65.47479187633922
Raccoon,r50.jpg,32.22628012569473,34.82064412429551,38.415373155683795,-7.450649072831511,-9.357527302468545
Average,NA,20.962018963626974,26.33392129997715,22.20885644911785,-20.399173655747337,18.573963320939697,-5.614145367400942
